No,Bulan,Tahun,Produksi Padi,Curah Hujan,Suhu,Kelembapan,Sinar Matahari
1,1,2019,247674.9,298.3161692,23.91001855,88.18459243,10248.51786
2,2,2019,324349.3,318.5321075,23.94702459,89.24357874,10045.86577
3,3,2019,1399151,376.3789965,23.87448935,89.32227988,9066.678787
4,4,2019,1656632,291.9263723,24.30147128,89.07020125,9875.95826
5,5,2019,786210,108.635755,24.29888082,85.83193636,11085.53134
6,6,2019,646971.1,50.07855816,23.97994265,79.1544565,10814.1641
7,7,2019,850948.8,27.56305255,23.85700625,74.59084375,11478.31265
8,8,2019,871335,26.58700977,23.81367164,72.89248134,12334.94817
9,9,2019,752680.6,24.79017949,24.59326707,70.68382303,12567.75529
10,10,2019,559023.1,47.75110199,25.18347522,73.27969359,12923.96387
11,11,2019,566848.1,157.6072663,25.06310016,79.31390159,12426.74518
12,12,2019,423133.7,406.4798607,24.39487065,87.51169928,10785.78901
13,1,2020,261729.1,310.1242754,24.02164916,89.26913878,9836.22981
14,2,2020,163278.5,398.0944812,23.95734784,90.09957809,8600.754316
15,3,2020,423836.8,397.7889587,24.17231843,89.64649556,9102.404124
16,4,2020,1696127,284.96453,24.32293773,88.77404671,9963.846382
17,5,2020,1275305,345.4481019,24.37905779,89.04373119,9063.286219
18,6,2020,644210.9,113.0909296,24.02434812,85.64126939,9969.540617
19,7,2020,706354.5,107.9517849,23.76178481,81.29547153,10612.74973
20,8,2020,940312.2,85.92185403,24.25225298,79.49345934,11414.02304
21,9,2020,1079807,199.095679,24.53835287,78.39314502,11435.43189
22,10,2020,750530.3,365.3893243,24.11560095,85.41396363,10238.66961
23,11,2020,630997.8,420.7223763,24.15211941,87.04095663,10460.74693
24,12,2020,444283.8,401.5337398,23.38391216,89.7404796,8397.593185
25,1,2021,401495,332.1003807,24.02164916,89.77060736,8024.84001
26,2,2021,542939.8,429.978878,23.95734784,89.45221712,8490.7753
27,3,2021,1340411,282.1819491,24.17231843,88.29545166,10143.38052
28,4,2021,1167477,234.7428474,24.32293773,86.51899479,10928.98226
29,5,2021,755057.2,196.4609198,24.37905779,85.22652208,10760.565
30,6,2021,729855.7,209.2414764,24.02434812,87.59368102,9333.825258
31,7,2021,1167557,81.70451779,23.76178481,82.00105484,11029.38574
32,8,2021,641696.6,117.1861921,24.25225298,80.80189206,11346.94338
33,9,2021,615202,230.8052958,24.53835287,81.7647643,10681.17764
34,10,2021,682706.2,343.1698168,24.11560095,83.01181165,10997.91332
35,11,2021,545923.5,662.2196868,24.15211941,88.6429897,8560.865742
36,12,2021,523252.6,328.5633808,23.38391216,88.7453004,9704.793818
37,1,2022,423391.5,279.1668959,23.72442777,87.61553965,10738.4568
38,2,2022,464402.9,265.2283601,23.69004884,87.95769392,8810.685584
39,3,2022,1500151,366.8429534,23.9897344,88.6170685,9863.490565
40,4,2022,1340685,335.0497992,24.00189726,88.06790264,10344.07669
41,5,2022,656580.5,303.9110343,24.33126627,87.9468417,9892.980615
42,6,2022,757632,214.2669901,23.38681816,88.17553703,9156.68646
43,7,2022,1022174,196.0715861,23.72228653,85.299261,10237.96325
44,8,2022,759793.6,173.2712788,23.86410389,83.01073544,11209.31706
45,9,2022,800152.9,390.4498715,24.00700214,83.81126507,10406.64715
46,10,2022,724268.1,420.4959604,23.52554968,88.29821765,8927.006663
47,11,2022,593254,602.5805759,23.63656763,88.12373551,9363.931154
48,12,2022,391237,292.1987579,23.54491642,88.58938657,9632.274664
49,1,2023,477312.2,254.7108729,23.55341291,87.88146495,10232.43377
50,2,2023,599116.5,374.8127888,23.23043352,89.26774267,7265.033827
51,3,2023,1322271,316.3321293,23.7664045,87.84340699,10439.0471
52,4,2023,1049983,329.240141,24.18768461,86.52250561,11044.01117
53,5,2023,1027200,166.8811663,24.35635956,85.31693468,10577.1975
54,6,2023,746141.5,114.1551573,24.14490929,84.78673032,9837.265991
55,7,2023,893429.6,71.7517314,23.67406451,80.86710072,10394.16955
56,8,2023,646621,43.21544846,23.91114297,76.03505219,12297.83593
57,9,2023,714231.5,19.33151904,24.35239402,71.60074157,12487.96035
58,10,2023,792892.4,75.26970114,25.59269191,73.97210616,13099.4628
59,11,2023,512287.1,374.8134055,25.22078286,82.59634359,11575.62675
60,12,2023,358553.6,157.8971752,24.68943822,84.97308538,11396.98547
61,1,2024,252547.4,321.5750907,24.27198161,89.09620086,9530.10602
62,2,2024,151954.3,290.2599885,24.4736395,88.96346693,9883.470522
63,3,2024,600150,288.1112969,24.42903465,88.48178011,9472.079841
64,4,2024,1430700,387.2885112,24.91044393,88.97670966,10271.75075
65,5,2024,1547699,75.88581155,24.92310145,85.37640086,10833.2186
66,6,2024,575487.3,144.7993555,24.35140639,85.46484214,9887.877941
67,7,2024,549457.8,119.1176202,23.70781866,81.92227254,10566.79252
68,8,2024,726552.6,58.58682315,24.2573441,76.81426647,12186.03005
69,9,2024,697390.8,186.6321849,24.73032434,78.5441663,11651.81392
70,10,2024,933710.4,109.7725012,25.29198546,78.43224843,12499.98641
71,11,2024,742234.1,624.4164785,24.55227083,87.39433443,9814.590763
72,12,2024,418995.7,411.0066963,24.13842873,88.57643831,8398.222866
